"month","price"
"1998-12",92.854662916402
"1999-1",25.9083412882054
"1999-10",22.7716294593243
"1999-11",28.4610747406006
"1999-12",25.2290701542094
"1999-4",22.2703872304494
"1999-5",32.0432387487317
"1999-6",33.0111961642538
"1999-7",27.4616507495901
"1999-8",35.0019977184944
"1999-9",21.8208557465648
"2000-1",51.7265502041403
"2000-10",32.4454462707599
"2000-11",44.3281807786352
"2000-12",31.565885010384
"2000-2",51.7685600863182
"2000-3",41.9468856080926
"2000-4",25.7003549986024
"2000-5",50.7163922042765
"2000-6",60.1146142012414
"2000-7",53.8433350779719
"2000-8",61.089784721559
"2000-9",33.3040321641721
"2001-1",74.6765171712272
"2001-10",32.6183879118858
"2001-11",22.921156314785
"2001-12",29.8273630298071
"2001-2",74.6217338808677
"2001-3",39.4644178089751
"2001-4",30.4429162264898
"2001-5",37.3972132251512
"2001-6",32.9679353036984
"2001-7",27.8354219397314
"2001-8",31.7933840584867
"2001-9",25.3157495196284
"2002-1",27.9129857396508
"2002-10",30.7743041768166
"2002-11",35.9626975699478
"2002-12",59.3708428568794
"2002-2",34.0309443976638
"2002-3",27.012893448045
"2002-4",27.2760576087124
"2002-5",75.5344064986029
"2002-6",69.4495270890012
"2002-7",69.7517591198418
"2002-8",30.1257217205819
"2002-9",30.7323851427531
"2003-1",42.5282310007727
"2003-10",18.6466360786589
"2003-11",21.4492839732451
"2003-12",25.9386394850549
"2003-2",19.6637524908188
"2003-3",19.3830864053642
"2003-4",15.9024367016578
"2003-5",20.8128805659911
"2003-6",50.0706663117211
"2003-7",44.6676322171114
"2003-8",19.9864492554513
"2003-9",20.6034136275313
"2004-1",26.5917037905236
"2004-10",63.3160472370256
"2004-11",70.1145802475938
"2004-12",52.2872326499875
"2004-2",58.2721233887817
"2004-3",59.9041917808895
"2004-4",30.8252254843704
"2004-5",32.5478266022349
"2004-6",30.7547692463005
"2004-7",35.0191075807461
"2004-8",25.0435490101398
"2004-9",28.7738888132059
"2005-1",33.9993911234849
"2005-10",39.1813606535701
"2005-11",46.2593724505103
"2005-12",68.3884708161079
"2005-2",32.8893182010768
"2005-3",19.2683104875021
"2005-4",29.933621181269
"2005-5",33.4142313921573
"2005-6",28.9448336325225
"2005-7",29.5439007088678
"2005-8",33.3651671218641
"2005-9",31.2796347276297
"2006-1",44.8041172488839
"2006-10",26.2301958352034
"2006-11",33.0587416887847
"2006-12",24.7790260619385
"2006-2",69.8131721989714
"2006-3",23.7663977629468
"2006-4",23.5110371236788
"2006-5",28.8768589223751
"2006-6",33.4460855776493
"2006-7",48.1105584267899
"2006-8",31.0965885196753
"2006-9",28.4544027154103
"2007-1",83.3169893978632
"2007-10",47.1079901574725
"2007-11",46.1040450784723
"2007-12",45.5301955497879
"2007-2",48.883294387686
"2007-3",55.0533005883593
"2007-4",77.1590007776332
"2007-5",64.5156580377539
"2007-6",209.601297334159
"2007-7",85.3379391122909
"2007-8",41.4905258787014
"2007-9",49.2288853316675
"2008-1",52.8877543271401
"2008-10",62.005003579844
"2008-11",36.4202149013275
"2008-12",28.0303087158811
"2008-2",79.3357750949996
"2008-3",64.5553785182576
"2008-4",36.6876392843714
"2008-5",49.209118712491
"2008-6",44.3124799916002
"2008-7",43.276883277956
"2008-8",41.9044677272999
"2008-9",36.3790882208586
"2009-1",109.28994002688
"2009-10",27.4712955262481
"2009-11",111.353353912333
"2009-12",67.2674940686854
"2009-2",43.2346606509398
"2009-3",27.2627509361953
"2009-4",38.7755972336334
"2009-5",31.9686522698175
"2009-6",42.3631188269372
"2009-7",30.3378569604244
"2009-8",24.1167427156505
"2009-9",25.1168967924651
"2010-1",75.0202249236979
"2010-10",21.7847328638909
"2010-11",21.3496229165634
"2010-12",21.0515868494756
"2010-2",74.7516079257426
"2010-3",25.5695664512544
"2010-4",39.0200293934345
"2010-5",29.4500025900004
"2010-6",31.7470603492677
"2010-7",26.7011569836172
"2010-8",32.1163183764958
"2010-9",23.2581194071372
"2011-1",60.8658108425387
"2011-10",28.5291881993753
"2011-11",34.5659038392229
"2011-12",25.2131198491603
"2011-2",121.195359430539
"2011-3",26.7649758735083
"2011-4",26.2697041316845
"2011-5",31.4791332572285
"2011-6",28.1458030460071
"2011-7",30.8447893686459
"2011-8",30.6574050605492
"2011-9",29.383687979923
"2012-1",28.8863873842814
"2012-10",53.8915097481539
"2012-11",66.9543856499324
"2012-12",55.1066226772486
"2012-2",28.945332129884
"2012-3",26.6327388548349
"2012-4",32.5053114937731
"2012-5",28.1059257298337
"2012-6",36.2782412318702
"2012-7",69.9050989510474
"2012-8",56.825735988856
"2012-9",52.9516256232689
"2013-1",87.6726518162516
"2013-10",53.9872245691586
"2013-11",50.8593742899341
"2013-12",61.5991466071095
"2013-2",56.0202764460934
"2013-3",60.1155147839641
"2013-4",55.1548121170644
"2013-5",59.922890980819
"2013-6",64.7210164579514
"2013-7",60.3692919187462
"2013-8",57.5633879276852
"2013-9",53.3172500397015
"2014-1",73.6114192206415
"2014-10",29.0301694936317
"2014-11",36.5332341234152
"2014-12",61.3933915599489
"2014-2",60.6427176305026
"2014-3",48.8267465421926
"2014-4",47.4915397694107
"2014-5",50.4346590026803
"2014-6",50.5758001091748
"2014-7",40.0980018445396
"2014-8",34.6074403695292
"2014-9",38.6606115029455
"2015-1",65.1541648533598
"2015-2",35.0075596607691
"2015-3",64.1469990530073
"2015-4",34.7934687985244
"2015-5",33.9958920944971
"2015-6",36.9983417014824
"2015-7",44.1096628317545
"2015-8",40.0869780275385
"2015-9",44.8944851858523
